,date,prices_name,price,hub,hub2,unit,currency,price_type,products,source,product_type
0,2023-01-02,Czech VTP,70.325,Czech VTP,-,MWh,EUR,bid,DA,42 Financial Services,Daily
1,2023-01-02,Czech VTP,71.525,Czech VTP,-,MWh,EUR,offer,DA,42 Financial Services,Daily
2,2023-01-02,Czech Virtual Point_THE,0.5,Czech VTP,THE VTP,MWh,EUR,bid,DA,42 Financial Services,Daily
3,2023-01-02,Czech Virtual Point_THE,1.0,Czech VTP,THE VTP,MWh,EUR,offer,DA,42 Financial Services,Daily
4,2023-01-02,VTP_TTF,-0.5,Austria VTP,TTF,MWh,EUR,bid,DA,42 Financial Services,Daily
5,2023-01-02,VTP_TTF,1.4,Austria VTP,TTF,MWh,EUR,offer,DA,42 Financial Services,Daily
6,2023-01-02,THE VTP,69.825,THE VTP,-,MWh,EUR,bid,DA,42 Financial Services,Daily
7,2023-01-02,THE VTP,70.525,THE VTP,-,MWh,EUR,offer,DA,42 Financial Services,Daily
8,2023-01-02,SK VTP_CEGH,1.0,Slovak VTP,Austria VTP,MWh,EUR,bid,DA,42 Financial Services,Daily
9,2023-01-02,THE_TTF,0.325,THE VTP,TTF,MWh,EUR,bid,DA,42 Financial Services,Daily
10,2023-01-02,THE_TTF,0.4,THE VTP,TTF,MWh,EUR,offer,DA,42 Financial Services,Daily
11,2023-01-02,TTF,69.5,TTF,-,MWh,EUR,bid,DA,42 Financial Services,Daily
12,2023-01-02,TTF,70.125,TTF,-,MWh,EUR,offer,DA,42 Financial Services,Daily
13,2023-01-02,Czech VTP,73.69999999999999,Czech VTP,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
14,2023-01-02,Czech VTP,76.05000000000001,Czech VTP,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
15,2023-01-02,Czech Virtual Point_THE,0.1,Czech VTP,THE VTP,MWh,EUR,bid,FEB23,42 Financial Services,Month
16,2023-01-02,Czech Virtual Point_THE,0.9,Czech VTP,THE VTP,MWh,EUR,offer,FEB23,42 Financial Services,Month
17,2023-01-02,VTP_TTF,0.0,Austria VTP,TTF,MWh,EUR,bid,FEB23,42 Financial Services,Month
18,2023-01-02,VTP_TTF,4.0,Austria VTP,TTF,MWh,EUR,offer,FEB23,42 Financial Services,Month
19,2023-01-02,THE VTP,73.6,THE VTP,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
20,2023-01-02,THE VTP,75.15,THE VTP,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
21,2023-01-02,SK VTP_CEGH,0.3,Slovak VTP,Austria VTP,MWh,EUR,bid,FEB23,42 Financial Services,Month
22,2023-01-02,SK VTP_CEGH,2.0,Slovak VTP,Austria VTP,MWh,EUR,offer,FEB23,42 Financial Services,Month
