,date,prices_name,price,hub,hub2,unit,currency,price_type,products,source,product_type
0,2023-01-02,Germany,147.95,Germany,-,MWh,EUR,bid,Tuesday,42 Financial Services,Daily
1,2023-01-02,Germany,148.04999999999998,Germany,-,MWh,EUR,offer,Tuesday,42 Financial Services,Daily
2,2023-01-02,Czech_base,148.95,Czech_base,-,MWh,EUR,bid,Tuesday,42 Financial Services,Daily
3,2023-01-02,Czech_base,149.04999999999998,Czech_base,-,MWh,EUR,offer,Tuesday,42 Financial Services,Daily
4,2023-01-02,Hungary_base,169.95,Hungary_base,-,MWh,EUR,bid,Tuesday,42 Financial Services,Daily
5,2023-01-02,Hungary_base,170.04999999999998,Hungary_base,-,MWh,EUR,offer,Tuesday,42 Financial Services,Daily
6,2023-01-02,Germany,89.95,Germany,-,MWh,EUR,bid,W/END,42 Financial Services,Daily
7,2023-01-02,Germany,90.05,Germany,-,MWh,EUR,offer,W/END,42 Financial Services,Daily
8,2023-01-02,Germany,136.45,Germany,-,MWh,EUR,bid,Wk02,42 Financial Services,Week
9,2023-01-02,Germany,136.54999999999998,Germany,-,MWh,EUR,offer,Wk02,42 Financial Services,Week
10,2023-01-02,Poland_base_PLN,739.15,Poland_base_PLN,-,MWh,EUR,bid,Wk02,42 Financial Services,Week
11,2023-01-02,Poland_base_PLN,739.25,Poland_base_PLN,-,MWh,EUR,offer,Wk02,42 Financial Services,Week
12,2023-01-02,Germany,191.95,Germany,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
13,2023-01-02,Germany,192.04999999999998,Germany,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
14,2023-01-02,Czech_base,208.95,Czech_base,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
15,2023-01-02,Czech_base,212.04999999999998,Czech_base,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
16,2023-01-02,Slovak_base,223.95,Slovak_base,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
17,2023-01-02,Slovak_base,247.04999999999998,Slovak_base,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
18,2023-01-02,Poland_base_PLN,834.75,Poland_base_PLN,-,MWh,EUR,bid,FEB23,42 Financial Services,Month
19,2023-01-02,Poland_base_PLN,834.85,Poland_base_PLN,-,MWh,EUR,offer,FEB23,42 Financial Services,Month
20,2023-01-02,Germany,179.95,Germany,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
21,2023-01-02,Germany,180.04999999999998,Germany,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
22,2023-01-02,Czech_base,196.95,Czech_base,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
23,2023-01-02,Czech_base,201.04999999999998,Czech_base,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
24,2023-01-02,Slovak_base,216.95,Slovak_base,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
25,2023-01-02,Slovak_base,251.04999999999998,Slovak_base,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
26,2023-01-02,Poland_base_PLN,789.95,Poland_base_PLN,-,MWh,EUR,bid,MAR23,42 Financial Services,Month
27,2023-01-02,Poland_base_PLN,790.0500000000001,Poland_base_PLN,-,MWh,EUR,offer,MAR23,42 Financial Services,Month
28,2023-01-02,Germany,172.95,Germany,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
29,2023-01-02,Germany,173.04999999999998,Germany,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
30,2023-01-02,Czech_base,180.95,Czech_base,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
31,2023-01-02,Czech_base,185.04999999999998,Czech_base,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
32,2023-01-02,Slovak_base,185.95,Slovak_base,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
33,2023-01-02,Slovak_base,205.04999999999998,Slovak_base,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
34,2023-01-02,Hungary_base,193.95,Hungary_base,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
35,2023-01-02,Hungary_base,194.04999999999998,Hungary_base,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
36,2023-01-02,Poland_base_PLN,810.85,Poland_base_PLN,-,MWh,EUR,bid,Q2/23,42 Financial Services,Quarter
37,2023-01-02,Poland_base_PLN,810.95,Poland_base_PLN,-,MWh,EUR,offer,Q2/23,42 Financial Services,Quarter
38,2023-01-02,Germany,200.95,Germany,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
39,2023-01-02,Germany,201.04999999999998,Germany,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
40,2023-01-02,Czech_base,190.95,Czech_base,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
41,2023-01-02,Czech_base,206.04999999999998,Czech_base,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
42,2023-01-02,Slovak_base,200.95,Slovak_base,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
43,2023-01-02,Slovak_base,226.04999999999998,Slovak_base,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
44,2023-01-02,Poland_base_PLN,874.95,Poland_base_PLN,-,MWh,EUR,bid,Q3/23,42 Financial Services,Quarter
45,2023-01-02,Poland_base_PLN,875.0500000000001,Poland_base_PLN,-,MWh,EUR,offer,Q3/23,42 Financial Services,Quarter
46,2023-01-02,Germany,212.95,Germany,-,MWh,EUR,bid,2024,42 Financial Services,Year
47,2023-01-02,Germany,213.04999999999998,Germany,-,MWh,EUR,offer,2024,42 Financial Services,Year
48,2023-01-02,Czech_base,214.95,Czech_base,-,MWh,EUR,bid,2024,42 Financial Services,Year
49,2023-01-02,Czech_base,217.04999999999998,Czech_base,-,MWh,EUR,offer,2024,42 Financial Services,Year
50,2023-01-02,Slovak_base,224.95,Slovak_base,-,MWh,EUR,bid,2024,42 Financial Services,Year
51,2023-01-02,Slovak_base,232.04999999999998,Slovak_base,-,MWh,EUR,offer,2024,42 Financial Services,Year
52,2023-01-02,Poland_base_PLN,1028.95,Poland_base_PLN,-,MWh,EUR,bid,2024,42 Financial Services,Year
53,2023-01-02,Poland_base_PLN,1029.05,Poland_base_PLN,-,MWh,EUR,offer,2024,42 Financial Services,Year
54,2023-01-02,Germany,159.95,Germany,-,MWh,EUR,bid,2025,42 Financial Services,Year
55,2023-01-02,Germany,160.04999999999998,Germany,-,MWh,EUR,offer,2025,42 Financial Services,Year
56,2023-01-02,Czech_base,157.95,Czech_base,-,MWh,EUR,bid,2025,42 Financial Services,Year
57,2023-01-02,Czech_base,162.54999999999998,Czech_base,-,MWh,EUR,offer,2025,42 Financial Services,Year
58,2023-01-02,Slovak_base,162.95,Slovak_base,-,MWh,EUR,bid,2025,42 Financial Services,Year
59,2023-01-02,Slovak_base,172.54999999999998,Slovak_base,-,MWh,EUR,offer,2025,42 Financial Services,Year
