date,delivery_point,point_type,curve_name,value
2015-09-30,Isle Of Grain,lng_terminal,Opening Stock,2183287680.0
2015-09-30,South Hook,lng_terminal,Opening Stock,2419054551.0
2015-09-30,Dragon,lng_terminal,Opening Stock,605794871.0
2015-09-30,Rough,ugs,Opening Stock,30387391764.0
2015-09-30,Aldbrough,ugs,Opening Stock,1582287476.0
2015-09-30,Holford,ugs,Opening Stock,692302413.0
2015-09-30,Hill Top,ugs,Opening Stock,76213084.0
2015-09-30,Stublach,ugs,Opening Stock,2130354306.0
2015-09-30,Humbly Grove,ugs,Opening Stock,2554424293.0
2015-09-30,Hornsea,ugs,Opening Stock,2114357453.0
2015-09-30,Holehouse Farm,ugs,Opening Stock,228036573.0
2015-09-30,Avonmouth,ugs,Opening Stock,39668430.0
2016-09-30,Isle Of Grain,lng_terminal,Opening Stock,3932612444.0
2016-09-30,South Hook,lng_terminal,Opening Stock,3338366889.0
2016-09-30,Dragon,lng_terminal,Opening Stock,1788214621.0
2016-09-30,Rough,ugs,Opening Stock,13714654884.0
2016-09-30,Aldbrough,ugs,Opening Stock,2430233749.0
2016-09-30,Holford,ugs,Opening Stock,1833958543.0
2016-09-30,Hill Top,ugs,Opening Stock,170558442.0
2016-09-30,Stublach,ugs,Opening Stock,2513622079.0
2016-09-30,Humbly Grove,ugs,Opening Stock,2915512077.0
2016-09-30,Hornsea,ugs,Opening Stock,2411829235.0
2016-09-30,Holehouse Farm,ugs,Opening Stock,371535350.0
2016-09-30,Avonmouth,ugs,Opening Stock,0.0
2017-09-30,Isle Of Grain,lng_terminal,Opening Stock,3536828973.0
2017-09-30,South Hook,lng_terminal,Opening Stock,1917485262.0
2017-09-30,Dragon,lng_terminal,Opening Stock,777766345.0
2017-09-30,Rough,ugs,Opening Stock,10714934418.0
2017-09-30,Aldbrough,ugs,Opening Stock,1103910882.0
2017-09-30,Holford,ugs,Opening Stock,701681005.0
2017-09-30,Hill Top,ugs,Opening Stock,20156133.0
2017-09-30,Stublach,ugs,Opening Stock,832432397.0
2017-09-30,Humbly Grove,ugs,Opening Stock,2786301724.0
2017-09-30,Hornsea,ugs,Opening Stock,1896714139.0
2017-09-30,Holehouse Farm,ugs,Opening Stock,402272285.0
2017-09-30,Avonmouth,ugs,Opening Stock,0.0
2018-09-30,Isle Of Grain,lng_terminal,Opening Stock,4980272618.0
2018-09-30,South Hook,lng_terminal,Opening Stock,2899309271.0
2018-09-30,Dragon,lng_terminal,Opening Stock,1292602488.0
2018-09-30,Rough,ugs,Opening Stock,0.0
2018-09-30,Aldbrough,ugs,Opening Stock,1178208552.0
2018-09-30,Holford,ugs,Opening Stock,1001179990.0
2018-09-30,Hill Top,ugs,Opening Stock,138669183.0
2018-09-30,Stublach,ugs,Opening Stock,1229372343.0
2018-09-30,Humbly Grove,ugs,Opening Stock,3076075448.0
2018-09-30,Hornsea,ugs,Opening Stock,2006797218.0
2018-09-30,Holehouse Farm,ugs,Opening Stock,154609031.0
2018-09-30,Avonmouth,ugs,Opening Stock,0.0
2019-09-30,Humbly Grove,ugs,Opening Stock,3016382403.0
2019-09-30,Holehouse Farm,ugs,Opening Stock,155881183.0
2019-09-30,Holford,ugs,Opening Stock,1355494996.0
2019-09-30,South Hook,lng_terminal,Opening Stock,2466741475.0
2019-09-30,Dragon,lng_terminal,Opening Stock,1881990146.0
2019-09-30,Isle Of Grain,lng_terminal,Opening Stock,5662427260.0
2019-09-30,Hornsea,ugs,Opening Stock,2368563476.0
2019-09-30,Aldbrough,ugs,Opening Stock,2263038069.0
2019-09-30,Stublach,ugs,Opening Stock,5226753304.0
2019-09-30,Hill Top,ugs,Opening Stock,247763982.0
2020-09-30,Holehouse Farm,ugs,Opening Stock,214844565.0
2020-09-30,South Hook,lng_terminal,Opening Stock,3123354099.0
2020-09-30,Dragon,lng_terminal,Opening Stock,1773683343.0
